iter	Passed	Remaining
324	6588	44094
325	6607	44061
326	6626	44033
327	6644	44001
328	6667	43994
329	6684	43955
330	6702	43918
331	6726	43926
332	6751	43935
333	6774	43935
334	6796	43925
335	6820	43927
336	6847	43951
337	6868	43933
338	6889	43919
339	6911	43909
340	6935	43908
341	6960	43923
342	6987	43941
343	7006	43915
344	7024	43877
345	7042	43843
346	7061	43812
347	7078	43773
348	7098	43748
349	7116	43716
350	7134	43682
351	7156	43669
352	7173	43631
353	7193	43606
354	7208	43554
355	7223	43504
356	7240	43463
357	7256	43414
358	7273	43374
359	7291	43341
360	7308	43306
361	7324	43261
362	7340	43212
363	7356	43171
364	7372	43122
365	7388	43082
366	7406	43043
367	7422	43004
368	7440	42968
369	7455	42920
370	7471	42878
371	7487	42834
372	7504	42796
373	7521	42757
374	7539	42726
375	7558	42697
376	7577	42668
377	7595	42637
378	7614	42614
379	7631	42574
380	7652	42559
381	7669	42525
382	7687	42494
383	7706	42463
384	7724	42434
385	7746	42424
386	7771	42433
387	7796	42439
388	7820	42441
389	7846	42451
390	7870	42451
391	7893	42445
392	7916	42440
393	7943	42458
394	7965	42446
395	7986	42432
396	8009	42427
397	8032	42422
398	8050	42392
399	8069	42365
400	8088	42337
401	8108	42317
402	8128	42294
403	8147	42271
